#Chemical Compatibility Database
# Format: Chemical Material Name|Ratings (11 digits for FFKM|ETP|FKM|NBR|HNBR|EPDM|TFE\P|VQM|FVQM|AU|PTFE)
# Elastomer Material Price: 5|4|3|1|2|1|3|2|3|3|3
# Rating Scale:
# 5 = Good - The material has good chemical resistance
# 4 = Fair - Limited exposure may be acceptable
# 3 = Poor - Not recommended for continuous use
# 2 = Unsuitable - Should not be used with this chemical
# 1 = N/A - No data available
#
# Elastomer Types:
# FFKM  = Perfluoroelastomer
# ETP   = Fluoroelastomer (Viton Extreme)
# FKM   = Fluoroelastomer (Viton Type A)
# NBR   = Nitrile Butadiene Rubber
# HNBR  = Hydrogenated Nitrile Butadiene Rubber
# EPDM  = Ethylene Propylene Diene Monomer
# TFE\P = Tetrafluoroethylene Propylene (Aflas)
# VMQ   = Silicone Rubber
# FVMQ  = Fluorosilicone Rubber
# AU    = Polyester Urethane
# PTFE  = Polytetrafluoroethylene (Teflon)
#
AMMONIUM   NITRITE|55355544111
AMMONIUM   OXALATE|55333514521
AMMONIUM   PERCHLORATE|55333514521
AMMONIUM   PERSULFATE|55522552525
AMMONIUM   PHOSPHATE|55555545125
AMMONIUM   PHOSPHATE, DIBASIC|55555555111
AMMONIUM   PHOSPHATE, MONOBASIC|55555545111
AMMONIUM   PHOSPHATE, TRIBASIC|55555545111
AMMONIUM   PHOSPHITE|55333514521
AMMONIUM   PICRATE|55333514521
AMMONIUM   POLYSULFIDE|55333514521
AMMONIUM   SALICYLATE|55333514521
AMMONIUM SALTS|54355555311
AMMONIUM   SULFAMATE|53233514521
AMMONIUM   SULFATE|55455555525
AMMONIUM   SULFATE NITRATE|55255541111
AMMONIUM   SULFIDE|55455551125
AMMONIUM   SULFITE|55533514521
AMMONIUM   THIOCYANATE|55533514521
AMMONIUM   THIOGLYCOLLATE|55333514521
AMMONIUM   THIOSULFATE|55533514521
AMMONIUM   TUNGSTATE|55333514521
AMMONIUM   VALERATE|55333514521
AMYL ACETATE|54222522225
AMYL ALCOHOL|55444552525
AMYL BORATE|55555252115
AMYL BUTYRATE|55455214551
AMYL CHLORIDE|55555252411
AMYL   CHLORONAPHTHALENE|55522242425
AMYL CINNAMIC   ALDEHYDE|53244211431
AMYL HYDRIDE|55555212325
AMYL LAURATE|55444211431
AMYL MERCAPTAN|55544211431
AMYL   NAPHTHALENE|55522242521
AMYL NITRATE|55333514521
AMYL NITRITE|55333514521
AMYL PHENOL|55521111115
AMYL   PROPIONATE|55455214551
AN-0-3 GRADE M|55555254551
AN-0-366|55555252551
AN-0-6|55555252551
ANDEROL L-774   (DIESTER)|55544242421
ANDEROL L-826   (DIESTER)|55544242421
ANDEROL L-829   (DIESTER)|55544242421
ANG-25   (DIESTER BASE)|55544244421
ANG-25   (GLYCERAL ESTER)|55544544421
ANILINE|55422442325
ANILINE DYES|55422453421
ANILINE   HYDROCHLORIDE|55422352425
ANILINE OIL|54222442325
ANILINE   SULFATE|55333514521
ANILINE   SULFITE|55333514521
ANIMAL FATS|55555454555
ANIMAL OIL|55555444545
ANISOLE|55322111115
ANON|51122211115
ANSUL ETHER   161, 181|53233352341
ANT OIL|42222422225
ANTHRACENE|55544211431
ANTHRAQUINONE   SULPHONIC ACID|51144511125
ANTIFREEZE   (AUTOMOTIVE)|55455515525
ANTIMONY   CHLORIDE|55455555555
ANTIMONY   PENTACHLORIDE|55455252551
ANTIMONY   PENTAFLUORIDES|44121111115
ANTIMONY   TRIBROMIDE|55555252551
ANTIMONY   TRICHLORIDE|55555552555
ANTIMONY   TRIFLUORIDE|45555252551
ANTIMONY   TRIOXIDE|55555552551
AN-VV-0-366B   HYDRAULIC|55555252541
AQUA REGIA|45423332325
ARGON|55555554455
ARGON GAS|51555551111
AROCLOR 1248|55533454421
AROCLOR 1254|55522453521
AROCLOR 1260|55555455521
AROMATIC FUEL   50%|55544242421
AROMATIC FUELS|55444242411
ARSENIC ACID|55555555525
ARSENIC   TRICHLORIDE|53255221111
ARSENIC   TRIOXIDE|55255211111
ARSENIC   TRISULFIDE|55255211111
ASCORBIC ACID|55533514521
ASKAREL   TRANSFORMER OIL|55544252425
ASPARTIC ACID|54333514521
ASPHALT|55544242445
ASTM FUEL A|55555242545
ASTM FUEL B|55545222525
ASTM FUEL C|55544222425
ASTM FUEL D|55544222141
ASTM OIL NO. 1|55555255555
ASTM OIL NO. 2|55555242545
ASTM OIL NO. 3|55555234545
ASTM OIL NO. 4|55544242421
ASTM OIL NO. 5|55555251111
ATL-857|55544252421
ATLANTIC   DOMINION F|55555242541
ATLANTIC UTRO   GEAR-E|55555251111
ATLANTIC UTRO   GEAR-EP LUBE.|55555242551
AUREX 903R|55555252251
AUTOMATIC   TRANSMISSION FLUID|55555252545
AUTOMOTIVE   BRAKE FLUID|54233553225
AZINE|52222442225
BAKING SODA|55555555555
BARDOL B|55522242421
BARIUM   CARBONATE|55533514521
BARIUM   CHLORATE|55533514521
BARIUM   CHLORIDE|55555555551
BARIUM CYANIDE|55555555551
BARIUM   HYDROXIDE|55555555525
BARIUM IODIDE|55555555551
BARIUM NITRATE|55533514521
BARIUM OXIDE|55555555521
BARIUM   PEROXIDE|55333514521
BARIUM   POLYSULFIDE|55333514521
BARIUM SALTS|55555555525
BARIUM SULFATE|55555555511
BARIUM SULFIDE|55555555551
BAYOL 35|55555252541
BAYOL D|55555252521
BEEF TALLOW   EMULSION, SULPHONATED|51555214415
BEER|55555555555
BEET SUGAR   LIQUIDS|55555551111
BEET SUGAR   LIQUORS|55555555521
BENZALDEHYDE|43222542225
BENZAMIDE|55544211431
BENZANTHRONE|55444211431
BENZENE|55422242425
BENZENE   CARBONAL|42222542225
BENZENE   CARBOXYLIC ACID|55525252425
BENZENE SULFONIC ACID|55522252425
BENZIDINE|55544211431
BENZIDINE 3   SULFONIC ACID|55544211431
BENZIL|55544211431
BENZILIC ACID|55544211431
BENZINE|55555242545
BENZOCATECHOL|55544211431
BENZOCHLORIDE|55522551511
BENZOIC ACID|55525252425
BENZOIN|55544211431
BENZONITRILE|55333514521
BENZOPHENONE|55422452521
BENZOQUINONE|55511441121
BENZOTRICHLORIDE|55522531111
BENZOTRIFLUORIDE|55522551111
BENZOYL CHLORIDE|55422241431
BENZOYL SULFONILIC ACID|55544211431
BENZYL ACETATE|53233514521
BENZYL ALCOHOL|55522444425
BENZYL BENZOATE|55522432525
BENZYL BROMIDE|55522242521
BENZYL BUTYL PHTHALATE|55333514521
BENZYL CHLORIDE|55522242525
BENZYL PHENOL|55444211431
BENZYL   SALICYLATE|55544211431
BERYLLIUM   CHLORIDE|55555553331
BERYLLIUM   FLUORIDE|55555553331
BERYLLIUM   OXIDE|55555553331
BERYLLIUM   SULFATE|55333514521
BIPHENYL|55522242425
BISMUTH   CARBONATE|55533514521
BISMUTH   NITRATE|55333514521
BISMUTH   OXYCHLORIDE|55333514521
BISULFITE LYE|41144511125
BITUMEN|51522111115
BLACK LIQUOR|35544441111
BLACK LYE|51544511115
BLACK POINT 77|55555553331
BLAST FURNACE   GAS|55524255425
BLEACH LIQUOR|55534554425
BLEACH   SOLUTIONS|55511511111
BLEACHING LYE|51422511125
BONE OIL|55455454555
BORAX|55544554451
BORAX   SOLUTIONS|55545555525
BORDEAUX   MIXTURE|55544554421
BORIC ACID|55555555525
BORIC OXIDE|54333514521
BORNEOL|55444211431
BORNYL ACETATE|54244211431
BORNYL   CHLORIDE|55544211431
BORNYL FORMATE|55544211431
BORON FLUIDS|55544252421
BORON   TRICHLORIDE|55544251111
BORON   TRIFLUORIDE|55544251111
BRAKE FLUID   DOT3, GLYCOL TYPE|22223545525
BRAKE FLUID,   WAGNER 21B|22233553225
BRAY GG-130|55544242421
BRAYCO 719-R|22233544421
BRAYCO 885|55544242451
BRAYCO 910|54244532231
BRET 710|22244542231
BRINE|55555555511
BROM - 113|11133232111
BROM - 114|55444232111
BROMIC ACID|55333514521
BROMINE|55522252425
BROMINE   PENTAFLUORIDE|43222222221
BROMINE   TRIFLUORIDE|43222222221
BROMINE WATER|55522432425
BROMINE,   ANHYDROUS|55522252411
BROMINE,   LIQUID|11122111115
BROMOBENZENE|55522222525
BROMOBENZENE   CYANIDE|55333514521
BROMOCHLOROMETHANE|54221432411
BROMOCHLOROTRIFLUOROETHANE|55522252421
BROMOETHANE|51544251111
BROMOFORM|55544211431
BROMOMETHANE|55544251511
BROMOTRIFLUOROMETHANE|44551512411
BRUCINE   SULFATE|55333514521
BUNKER OIL|55555244545
BUNKER C FUEL   OIL|55555241111
BUTADIENE|55322242525
BUTANE|55555242555
BUTANE, 2,   2-DIMETHYL|55555242321
BUTANE, 2,   3-DIMETHYL|55555242321
BUTANEDIOL|55355514525
BUTANOL|55522554525
BUTENE 2-ETHYL|55555252321
BUTTER|55555554555
BUTYL ACETATE|53222422225
BUTYL ACETYL   RICINOLEATE|55544551421
BUTYL ACRYLATE|53222224211
BUTYL ALCOHOL|55552454525
BUTYL ALCOHOL,   SECONDARY|55544454421
BUTYL ALCOHOL,   TERTIARY|55544454421
BUTYL BENZOATE|55523514521
BUTYL BUTYRATE|55522511511
BUTYL CARBITOL|55322542225
BUTYL   CELLOSOLVE|54233432225
BUTYL   CELLOSOLVE ACETATE|53223444421
BUTYL   CELLOSOLVE ADIPATE|55422444421
BUTYL CHLORIDE|55555214551
BUTYL ETHER|53233312331
BUTYL   GLYCOLATE|55333514521
BUTYL LACTATE|55333514521
BUTYL LAURATE|55433514521
BUTYL   MERCAPTAN|54222212121
BUTYL   METHACRYLATE|54233514521
BUTYL OLEATE|55522451411
BUTYL OXALATE|55333514521
BUTYL PHENOL|55422212125
BUTYL STEARATE|55544251411
BUTYLAMINE|52235242221
BUTYLBENZOIC   ACID|55544211431
BUTYLENE|55545242455
BUTYLENE   GLYCOL|51455515555
BUTYNE DIOL|41455511155
BUTYRALDEHYDE|43222422225
BUTYRIC ACID|54325451115
BUTYRIC   ANHYDRIDE|55333514521
BUTYROLACETONE|54333514521
BUTYRYL   CHLORIDE|55544211431
CADMIUM   CHLORIDE|55333514521
CADMIUM   CYANIDE|55553554521
CADMIUM   NITRATE|55433514521
CADMIUM OXIDE|55333514521
CADMIUM   SULFATE|55333514521
CADMIUM   SULFIDE|55333514521
CALCINE   LIQUORS|55555551521
CALCIUM ACETATE|53244552221
CALCIUM ARSENATE|55553554521
CALCIUM BENZOATE|55544211431
CALCIUM BICARBONATE|55433514521
CALCIUM BISULFIDE|55533514521
CALCIUM BISULFITE|55555253355
CALCIUM BROMIDE|55555555551
CALCIUM CARBONATE|55555555535
CALCIUM CHLORATE|55533514521
CALCIUM CHLORIDE|55555555525
CALCIUM CHROMATE|55333514521
CALCIUM CYANIDE|55555555111
CALCIUM FLUORIDE|55555555551
CALCIUM GLUCONATE|55333514521
CALCIUM HYDRIDE|55555555551
CALCIUM HYDROGEN SULFITE|55521255511
CALCIUM HYDROSULFIDE|55333514521
CALCIUM HYDROXIDE|55555555525
CALCIUM HYPOCHLORITE|55544554425
CALCIUM HYPOPHOSPHITE|55333514521
CALCIUM LACTATE|55333514521
CALCIUM NITRATE|55555554555
CALCIUM OXALATE|55333514521
CALCIUM OXIDE|55555555551
CALCIUM PHENOLSULFONATE|55333514521
CALCIUM PHOSPHATE|55555555555
CALCIUM PHOSPHATE ACID|55333514521
CALCIUM PROPIONATE|55333514521
CALCIUM SALTS|55555554551
CALCIUM SILICATE|55555551111
CALCIUM STEARATE|55544211431
CALCIUM SULFAMATE|55544211431
CALCIUM SULFATE|55433514521
CALCIUM SULFIDE|55555554555
CALCIUM SULFITE|55555555551
CALCIUM THIOCYANATE|55333514521
CALCIUM THIOSULFATE|55544555551
CALCIUM TUNGSTATE|55333514521
CALICHE   LIQUORS|55555554551
CAMPHENE|55444211431
CAMPHOR|55455551435
CAMPHORATED   OIL|51454211115
CAMPHORIC ACID|55444211431
CANE SUGAR   LIQUORS|55555555521
CAPRIC ACID|55455214551
CAPROIC ACID|55455214551
CAPROIC   ALDEHYDE|53211434221
CAPROLACTAM|53255544551
CAPRONALDEHYDE|55555214551
CARBAMATE|55533451521
CARBITOL|54344454421
CARBITOL 2|51441414425
CARBOLIC ACID|55522452535
CARBOLINEUM|51522212555
CARBON   BISULFIDE|55522242511
CARBON DIOXIDE|55555555551
CARBON   DIOXIDE, DRY|55555454415
CARBON DIOXIDE, EXPLOSIVEDECOMPRESSION USE|55555555551
CARBON   DIOXIDE, WET|55555451111
CARBON   DISULFIDE|55422252525
CARBON   FLUORIDES|55544242421
CARBON   MONOXIDE|55555555455
CARBON   MONOXIDE, DRY|51555515555
CARBON   MONOXIDE, WET|51555515515
CARBON   TETRACHLORIDE|55544222425
CARBON   TETRAFLUORIDE|55544242421
CARBONIC ACID|55525555555
CASEIN|55533514521
CASTOR OIL|55555455555
CAUSTIC LIME|55553555521
CAUSTIC POTASH|55544553325
CAUSTIC SODA|54244554425
CELLOSOLVE|53222452225
CELLOSOLVE   ACETATE|53222432221
CELLOSOLVE   BUTYL|22222442221
CELLUGUARD|55555555521
CELLULOSE   ACETATE|54233514521
CELLULOSE   ACETATE BUTYRATE|55333514521
CELLULOSE   ETHER|54333514521
CELLULOSE   NITRATE|55333514521
CELLULOSE   TRIPROPIONATE|55333514521
CELLULUBE A60|55322444311
CELLULUBE,   PHOSPHATE ESTERS|55521545311
CELLUTHERM   2505A|55544252421
CEMENT,   PORTLAND|55551551111
CERIUM SULFATE|55333514521
CEROUS   CHLORIDE|55333514521
CEROUS   FLUORIDE|55333514521
CEROUS NITRATE|55333514521
CETANE   (HEXADECANE)|55555252321
CETYL ALCOHOL|55555214551
CHINA WOOD OIL|55555242435
CHLORACETIC   ACID|51222411225
CHLORAL|53233514521
CHLORAL   HYDRATE, AQUEOUS|51422411115
CHLORAMINE|53255511115
CHLORANTHRAQUINONE|54544211431
CHLORDANE|55544252411
CHLORETHANOL|41222411115
CHLOREXTOL|55544252421
CHLORIC ACID|55422414525
CHLORIDE OF   LIME, AQUEOUS|51522511125
CHLORINATED   NAPHTHALENE|55421222411
CHLORINATED   SALT BRINE|55522251111
CHLORINATED   SOLVENTS|55522222525
CHLORINATED   SOLVENTS, DRY|55522242521
CHLORINATED   SOLVENTS, WET|55522242521
CHLORINE|55544231431
CHLORINE   DIOXIDE|45522333425
CHLORINE DIOXIDE, 8% CL ASNACLO2 IN SOLUTION|55522241421
CHLORINE   TRIFLUORIDE|43222222225
CHLORINE WATER|55533452115
CHLORINE, DRY   GAS|55523232525
CHLORINE,   LIQUID|41422411115
CHLORINE,   PLASMA|33111111111
CHLORINE, WET|45422442445
CHLORINE, WET   GAS|44422411115
CHLORO 1-NITRO   ETHANE|53222232221
CHLORO   OXYFLUORIDES|44111111111
CHLORO   XYLENOLS|55544211431
CHLOROACETALDEHYDE|43233514521
CHLOROACETIC   ACID|54222441221
CHLOROACETONE|54222522221
CHLOROAMINO   BENZOIC ACID|55333514521
CHLOROANILINE|53323444521
CHLOROBENZALDEHYDE|53233514521
CHLOROBENZENE|55522242425
CHLOROBENZENE   CHLORIDE|55544211431
CHLOROBENZENE   TRIFLUORIDE|55544211431
CHLOROBENZOCHLORIDE|55544211431
CHLOROBENZOTRIFLUORIDE|55524212431
CHLOROBROMOMETHANE|55522432425
CHLOROBROMOPROPANE|55544211431
CHLOROBUTADIENE|55522232421
CHLOROBUTANE|55555214551
CHLORODODECANE|55522242521
CHLOROETHANE|55555214551
CHLOROETHANE   SULFONIC ACID|55333514521
CHLOROETHYLBENZENE|55544221431
CHLOROFORM|55422222325
CHLOROHYDRIN|55553554521
CHLORONAPHTHALENE|55522222421
CHLORONITROBENZENE|55333514521
CHLORONITROETHANE|54221212211
CHLOROPHENOL|55521212411
CHLOROPHENOL,   ORTHO|55433514521
CHLOROPHENOL,   PARA|55433514521
CHLOROPICRIN|55544211431
CHLOROPRENE|55524232431
CHLOROSULFONIC   ACID|54222222225
CHLOROTOLUENE|55522242421
CHLOROTOLUENE   SULFONIC ACID|55333514521
CHLOROTOLUIDINE|54244211431
CHLOROTRIFLUOROETHYLENE|44111111111
