designation,bore_d,outer_d,width,load_rating,limiting_speed
6315-2RS1/C3,75.0,160.0,37.0,119.0,2800.0
6315-2Z,75.0,160.0,37.0,119.0,4500.0
6315-2Z/C3,75.0,160.0,37.0,119.0,4500.0
6315-2Z/C3GJN,75.0,160.0,37.0,119.0,4500.0
6315-2Z/C3WT,75.0,160.0,37.0,119.0,4500.0
6315-2Z/VA208,75.0,160.0,37.0,,30.0
6315-Z,75.0,160.0,37.0,119.0,5600.0
6315-Z/C3,75.0,160.0,37.0,119.0,5600.0
6315-Z/C3VL0241,75.0,160.0,37.0,119.0,5600.0
6315/C3,75.0,160.0,37.0,119.0,5600.0
6315/C3VL0241,75.0,160.0,37.0,119.0,5600.0
6315/C4,75.0,160.0,37.0,119.0,5600.0
6315/HC5C3,75.0,160.0,37.0,114.0,6700.0
6315/HC5C3S0,75.0,160.0,37.0,114.0,6700.0
6315/VA201,75.0,160.0,37.0,,40.0
6316,80.0,170.0,39.0,130.0,5300.0
6316 2RSJEM,80.0,170.0,39.0,130.0,2600.0
6316 2ZJEM,80.0,170.0,39.0,130.0,4300.0
6316 JEM,80.0,170.0,39.0,130.0,5300.0
6316 M,80.0,170.0,39.0,130.0,7500.0
6316 M/C3,80.0,170.0,39.0,130.0,7500.0
6316 M/C3VL0241,80.0,170.0,39.0,130.0,7500.0
6316 M/C4,80.0,170.0,39.0,130.0,7500.0
6316 M/C4VL0241,80.0,170.0,39.0,130.0,7500.0
6316 ZJEM,80.0,170.0,39.0,130.0,5300.0
6316-2RS1,80.0,170.0,39.0,130.0,2600.0
6316-2RS1/C3,80.0,170.0,39.0,130.0,2600.0
6316-2Z,80.0,170.0,39.0,130.0,4300.0
6316-2Z/C3,80.0,170.0,39.0,130.0,4300.0
6316-2Z/C3GJN,80.0,170.0,39.0,130.0,4300.0
6316-2Z/VA208,80.0,170.0,39.0,,30.0
6316-RS1,80.0,170.0,39.0,130.0,2600.0
6316-Z,80.0,170.0,39.0,130.0,5300.0
6316-Z/C3,80.0,170.0,39.0,130.0,5300.0
6316/C3,80.0,170.0,39.0,130.0,5300.0
6316/C3S1,80.0,170.0,39.0,130.0,5300.0
6316/C3VL0241,80.0,170.0,39.0,130.0,5300.0
6316/C4,80.0,170.0,39.0,130.0,5300.0
6316/HC5C3S0,80.0,170.0,39.0,124.0,6300.0
6317,85.0,180.0,41.0,140.0,5000.0
6317 2RSJEM,85.0,180.0,41.0,140.0,2400.0
6317 2ZJEM,85.0,180.0,41.0,140.0,4000.0
6317 JEM,85.0,180.0,41.0,140.0,5000.0
6317 M,85.0,180.0,41.0,140.0,7500.0
6317 M/C3,85.0,180.0,41.0,140.0,7500.0
6317 M/C3VL0241,85.0,180.0,41.0,140.0,7500.0
6317 ZJEM,85.0,180.0,41.0,140.0,5000.0
6317-2RS1,85.0,180.0,41.0,140.0,2400.0
6317-2RS1/C3,85.0,180.0,41.0,140.0,2400.0
6317-2Z,85.0,180.0,41.0,140.0,4000.0
6317-2Z/C3,85.0,180.0,41.0,140.0,4000.0
6317-2Z/C3GJN,85.0,180.0,41.0,140.0,4000.0
6317-Z,85.0,180.0,41.0,140.0,5000.0
6317-Z/C3,85.0,180.0,41.0,140.0,5000.0
6317/C3,85.0,180.0,41.0,140.0,5000.0
6317/C3VL0241,85.0,180.0,41.0,140.0,5000.0
6317/C4,85.0,180.0,41.0,140.0,5000.0
6317/HC5C3,85.0,180.0,41.0,133.0,6000.0
6318,90.0,190.0,43.0,151.0,4800.0
6318 2RSJEM,90.0,190.0,43.0,151.0,2400.0
6318 2ZJEM,90.0,190.0,43.0,151.0,3800.0
6318 JEM,90.0,190.0,43.0,151.0,4800.0
6318 M,90.0,190.0,43.0,151.0,7000.0
6318 M/C3,90.0,190.0,43.0,151.0,7000.0
6318 M/C3VL0241,90.0,190.0,43.0,151.0,7000.0
6318 ZJEM,90.0,190.0,43.0,151.0,4800.0
6318-2RS1,90.0,190.0,43.0,151.0,2400.0
6318-2RS1/C3,90.0,190.0,43.0,151.0,2400.0
6318-2Z,90.0,190.0,43.0,151.0,3800.0
6318-2Z/C3,90.0,190.0,43.0,151.0,3800.0
6318-2Z/C3GJN,90.0,190.0,43.0,151.0,3800.0
6318-Z,90.0,190.0,43.0,151.0,4800.0
6318-Z/C3,90.0,190.0,43.0,151.0,4800.0
6318/C3,90.0,190.0,43.0,151.0,4800.0
6318/C3S1,90.0,190.0,43.0,151.0,4800.0
6318/C3VL0241,90.0,190.0,43.0,151.0,4800.0
6318/C4,90.0,190.0,43.0,151.0,4800.0
6318/C4S1,90.0,190.0,43.0,151.0,4800.0
6318/HC5C3,90.0,190.0,43.0,143.0,5600.0
6319,95.0,200.0,45.0,159.0,4500.0
6319 2ZJEM,95.0,200.0,45.0,159.0,3600.0
6319 JEM,95.0,200.0,45.0,159.0,4500.0
6319 M,95.0,200.0,45.0,159.0,6300.0
6319 M/C3,95.0,200.0,45.0,159.0,6300.0
6319 M/C3VL0241,95.0,200.0,45.0,159.0,6300.0
6319 M/C4,95.0,200.0,45.0,159.0,6300.0
6319 M/P64,95.0,200.0,45.0,159.0,6300.0
6319 ZJEM,95.0,200.0,45.0,159.0,4500.0
6319-2RS1,95.0,200.0,45.0,159.0,2200.0
6319-2RS1/C3,95.0,200.0,45.0,159.0,2200.0
6319-2Z,95.0,200.0,45.0,159.0,3600.0
6319-2Z/C3,95.0,200.0,45.0,159.0,3600.0
6319-Z,95.0,200.0,45.0,159.0,4500.0
6319-Z/C3,95.0,200.0,45.0,159.0,4500.0
6319/C3,95.0,200.0,45.0,159.0,4500.0
6319/C3VL0241,95.0,200.0,45.0,159.0,4500.0
6319/C4,95.0,200.0,45.0,159.0,4500.0
6319/HC5C3,95.0,200.0,45.0,153.0,5300.0
6319/HC5C3S0,95.0,200.0,45.0,153.0,5300.0
6320,100.0,215.0,47.0,174.0,4300.0
6320 2ZJEM,100.0,215.0,47.0,174.0,3400.0
6320 JEM,100.0,215.0,47.0,174.0,4300.0
6320 M,100.0,215.0,47.0,174.0,6000.0
6320 M/C3,100.0,215.0,47.0,174.0,6000.0
6320 M/C3VL0241,100.0,215.0,47.0,182.0,6000.0
6320 M/C5VL0241,,,,,
6320 M/HC5C4HS0,100.0,215.0,47.0,174.0,6000.0
6320 ZJEM,100.0,215.0,47.0,174.0,4300.0
6320-2RS1,100.0,215.0,47.0,174.0,2000.0
6320-2RS1/C3,100.0,215.0,47.0,174.0,2000.0
6320-2Z,100.0,215.0,47.0,174.0,3400.0
6320-2Z/C3,100.0,215.0,47.0,174.0,3400.0
6320-Z,100.0,215.0,47.0,174.0,4300.0
6320-Z/C3,100.0,215.0,47.0,174.0,4300.0
6320-Z/C3S1,100.0,215.0,47.0,174.0,4300.0
6320/C3,100.0,215.0,47.0,174.0,4300.0
6320/C3VL0241,100.0,215.0,47.0,182.0,4300.0
6320/C4,100.0,215.0,47.0,174.0,4300.0
6320/HC5C3,100.0,215.0,47.0,174.0,5000.0
6321,105.0,225.0,49.0,182.0,4000.0
6321 M/C3VL0241,105.0,225.0,49.0,195.0,5600.0
6321 M/P64S0VL0241,,,,,
6321/C3,105.0,225.0,49.0,182.0,4000.0
6321/C4,105.0,225.0,49.0,182.0,4000.0
6322,110.0,240.0,50.0,203.0,3800.0
6322 M,110.0,240.0,50.0,203.0,5300.0
6322 M/C3,110.0,240.0,50.0,203.0,5300.0
6322 M/C3VL0241,110.0,240.0,50.0,216.0,5300.0
6322 M/C4VL0241,110.0,240.0,50.0,216.0,5300.0
6322/C3,110.0,240.0,50.0,203.0,3800.0
6322/C3VL0241,110.0,240.0,50.0,216.0,3800.0
6322/C4,110.0,240.0,50.0,203.0,3800.0
6322/HC5C3,110.0,240.0,50.0,203.0,4500.0
6322/HC5C3S0VA970,110.0,240.0,50.0,156.0,4300.0
6324,120.0,260.0,55.0,208.0,3400.0
6324 M,120.0,260.0,55.0,208.0,5000.0
6324 M/C3,120.0,260.0,55.0,208.0,5000.0
6324 M/C3VL0241,120.0,260.0,55.0,216.0,5000.0
6324 M/HC5C4HS0,120.0,260.0,55.0,208.0,5000.0
6324-2RS1,120.0,260.0,55.0,208.0,1700.0
6324/C3,120.0,260.0,55.0,208.0,3400.0
6324/C3VL2071,120.0,260.0,55.0,216.0,3400.0
6324/C4,120.0,260.0,55.0,208.0,3400.0
6324/HC5C3S0VA970,120.0,260.0,55.0,165.0,4000.0
6326,130.0,280.0,58.0,229.0,3200.0
6326 M,130.0,280.0,58.0,229.0,4500.0
6326 M/C3,130.0,280.0,58.0,229.0,4500.0
6326 M/C3VL0241,130.0,280.0,58.0,229.0,4500.0
6326 M/C4,130.0,280.0,58.0,229.0,4500.0
6326/C3,130.0,280.0,58.0,229.0,3200.0
6326/C3VL2071,130.0,280.0,58.0,229.0,3200.0
6326/HC5C3S0VA970,130.0,280.0,58.0,174.0,3800.0
6328,140.0,300.0,62.0,251.0,3000.0
6328 M,140.0,300.0,62.0,251.0,4300.0
6328 M/C3,140.0,300.0,62.0,251.0,4300.0
6328 M/C3VL2071,140.0,300.0,62.0,265.0,4300.0
6328/C3,140.0,300.0,62.0,251.0,3000.0
6328/C3VL2071,140.0,300.0,62.0,265.0,3000.0
6328/HC5C3S0VA970,140.0,300.0,62.0,251.0,3600.0
6330,150.0,320.0,65.0,276.0,2800.0
6330 M,150.0,320.0,65.0,276.0,4000.0
6330 M/C3,150.0,320.0,65.0,276.0,4000.0
6330 M/C4,150.0,320.0,65.0,276.0,4000.0
6330/C3,150.0,320.0,65.0,276.0,2800.0
6330/C3VL2071,150.0,320.0,65.0,286.0,2800.0
6330/HC5C3PS0VA970,150.0,320.0,65.0,276.0,3200.0
6330/HC5C3S0VA970,150.0,320.0,65.0,276.0,3200.0
6332,160.0,340.0,68.0,276.0,2600.0
6332 M,160.0,340.0,68.0,276.0,3800.0
6332 M/C3,160.0,340.0,68.0,276.0,3800.0
6332 M/C3VL2071,160.0,340.0,68.0,291.0,3800.0
6332 M/C4,160.0,340.0,68.0,276.0,3800.0
6332/HC5C3S0VA970,160.0,340.0,68.0,276.0,2800.0
6334,170.0,360.0,72.0,312.0,2400.0
6334 M,170.0,360.0,72.0,312.0,3400.0
6334 M/C3,170.0,360.0,72.0,312.0,3400.0
6334 M/C4,170.0,360.0,72.0,312.0,3400.0
6334/C3,170.0,360.0,72.0,312.0,2400.0
6334/HC5C3PS0VA970,170.0,360.0,72.0,276.0,2800.0
6336,180.0,380.0,75.0,351.0,2200.0
6336 M,180.0,380.0,75.0,351.0,3200.0
6336 M/C3,180.0,380.0,75.0,351.0,3200.0
6336/HC5C3PS0VA970,180.0,380.0,75.0,276.0,2800.0
6338 M,190.0,400.0,78.0,371.0,3000.0
6338 M/C3,190.0,400.0,78.0,371.0,3000.0
634,4.0,16.0,5.0,1.11,60000.0
634-2Z,4.0,16.0,5.0,1.11,48000.0
6344 M,220.0,460.0,88.0,410.0,2600.0
6344 M/C3,220.0,460.0,88.0,410.0,2600.0
635,5.0,19.0,6.0,2.34,50000.0
635 2ZJEM,5.0,19.0,6.0,2.34,40000.0
635-2Z,5.0,19.0,6.0,2.34,40000.0
638/4-2Z,4.0,9.0,4.0,0.423,70000.0
638/5-2Z,5.0,11.0,5.0,0.468,60000.0
638/8-2Z,8.0,16.0,6.0,0.819,45000.0
63800-2Z,,,7.0,1.72,38000.0
639/3-2Z,3.0,8.0,4.0,0.364,75000.0
6403,17.0,62.0,17.0,22.9,18000.0
6403-2RS1,17.0,62.0,17.0,22.9,8500.0
6403-2RS1/C3,17.0,62.0,17.0,22.9,8500.0
6403/C3,17.0,62.0,17.0,22.9,18000.0
6404,20.0,72.0,19.0,30.7,15000.0
6404/C3,20.0,72.0,19.0,30.7,15000.0
6405,25.0,80.0,21.0,35.8,13000.0
6405/C3,25.0,80.0,21.0,35.8,13000.0
6406,30.0,90.0,23.0,43.6,11000.0
6406/C3,30.0,90.0,23.0,43.6,11000.0
6407,35.0,100.0,25.0,55.3,10000.0
6407 NR,35.0,100.0,25.0,55.3,10000.0
6407/C3,35.0,100.0,25.0,55.3,10000.0
6408,40.0,110.0,27.0,63.7,9000.0
6408 N,40.0,110.0,27.0,63.7,9000.0
6408/C3,40.0,110.0,27.0,63.7,9000.0
6409,45.0,120.0,29.0,76.1,8500.0
6409 NR,45.0,120.0,29.0,76.1,8500.0
6409/C3,45.0,120.0,29.0,76.1,8500.0
6409/C4,45.0,120.0,29.0,76.1,8500.0
6410,50.0,130.0,31.0,87.1,7500.0
6410 NR,50.0,130.0,31.0,87.1,7500.0
6410/C3,50.0,130.0,31.0,87.1,7500.0
6410/C4,50.0,130.0,31.0,87.1,7500.0
6411,55.0,140.0,33.0,99.5,7000.0
6411 N,55.0,140.0,33.0,99.5,7000.0
6411 NR,55.0,140.0,33.0,99.5,7000.0
6411/C3,55.0,140.0,33.0,99.5,7000.0
6412,60.0,150.0,35.0,108.0,6300.0
6412 NR,60.0,150.0,35.0,108.0,6300.0
6412/C3,60.0,150.0,35.0,108.0,6300.0
6412/C4,60.0,150.0,35.0,108.0,6300.0
6413,65.0,160.0,37.0,119.0,6000.0
6413 NR,65.0,160.0,37.0,119.0,6000.0
6413/C3,65.0,160.0,37.0,119.0,6000.0
6413/C4,65.0,160.0,37.0,119.0,6000.0
6414,70.0,180.0,42.0,143.0,5300.0
6414/C3,70.0,180.0,42.0,143.0,5300.0
6414/C4,70.0,180.0,42.0,143.0,5300.0
6415,75.0,190.0,45.0,153.0,5000.0
6415/C3,75.0,190.0,45.0,153.0,5000.0
6415/C4,75.0,190.0,45.0,153.0,5000.0
6416,80.0,200.0,48.0,163.0,4800.0
6416/C3,80.0,200.0,48.0,163.0,4800.0
6416/W64,80.0,200.0,48.0,163.0,2100.0
6417,85.0,210.0,52.0,174.0,4500.0
6417/C3,85.0,210.0,52.0,174.0,4500.0
6418,90.0,225.0,54.0,186.0,4300.0
6418/C3,90.0,225.0,54.0,186.0,4300.0
AAL-5600,,,,,
BB1-0078,22.0,52.0,15.0,17.8,18000.0
BB1-0554,20.0,42.0,12.0,9.36,24000.0
BB1-0608 DD,8.0,22.0,7.0,0.003,48000.0
BB1-0623 AG,17.0,40.0,12.0,9.95,12000.0
BB1-0624 AG,20.0,47.0,14.0,12.7,
BB1-0722 CD/VK189,15.0,35.0,11.0,7.8,28000.0
BB1-2504 B,15.0,32.0,9.0,5.53,32000.0
BB1-2557 AC,17.0,39.0,12.5,9.56,24000.0
BB1-3039,100.0,215.0,47.0,174.0,4300.0
BB1-3055 B,20.0,52.0,12.0,10.6,20000.0
BB1-3160 B,,,,,
BB1-3191/HN3,40.0,68.0,15.0,20.8,14000.0
BB1-3341 A,85.0,180.0,41.0,140.0,5000.0
BB1-3446,,,,,
BB1-3914,158.75,215.9,28.575,92.3,5000.0
BB1B 394290-2Z,8.0,22.0,7.0,3.25,38000.0
BB1B 420205,25.0,52.0,12.0,15.3,18000.0
BB1B 447205 A,20.0,52.0,12.0,12.7,20000.0
BB1B 447244,,,,,
D/W R10-2RS1,15.875,34.925,8.733,4.94,13000.0
D/W R12-2Z,19.05,41.275,11.113,8.06,19000.0
D/W R144,3.175,6.35,2.38,0.163,100000.0
D/W R144 R,3.175,6.35,2.38,0.163,100000.0
D/W R144 R-2Z,3.175,6.35,2.779,0.163,85000.0
D/W R166-2Z,4.762,9.525,3.175,0.403,63000.0
D/W R188 R-2Z,6.35,12.7,4.762,0.618,53000.0
D/W R188-2Z,6.35,12.7,4.762,0.618,53000.0
D/W R3-2Z,4.762,12.7,4.978,0.741,56000.0
D/W R4 A-2Z,6.35,19.05,7.142,1.53,40000.0
D/W R4-2Z,6.35,15.875,4.978,0.852,48000.0
D/W R4A,6.35,19.05,5.558,1.53,50000.0
D/W R6-2Z,9.525,22.225,7.142,2.47,36000.0
D/W R8-2Z,12.7,28.575,7.938,4.42,30000.0
E2.6000-2Z/C3,10.0,26.0,8.0,4.62,36000.0
E2.6001-2Z/C3,12.0,28.0,8.0,5.07,32000.0
E2.6002-2Z/C3,15.0,32.0,9.0,5.53,28000.0
E2.6003-2Z/C3,17.0,35.0,10.0,5.85,24000.0
E2.6004-2Z/C3,20.0,42.0,12.0,9.36,20000.0
E2.6005-2Z/C3,25.0,47.0,12.0,11.1,18000.0
E2.6006-2Z/C3,30.0,55.0,13.0,12.7,15000.0
E2.607-2Z/C3,7.0,19.0,6.0,2.21,45000.0
E2.608-2Z/C3,8.0,22.0,7.0,3.32,43000.0
E2.609-2Z/C3,9.0,24.0,7.0,3.71,38000.0
E2.6200-2Z/C3,10.0,30.0,9.0,5.07,32000.0
E2.6201-2Z/C3,12.0,32.0,10.0,6.89,30000.0
E2.6202-2Z/C3,15.0,35.0,11.0,7.8,26000.0
E2.6203-2Z/C3,17.0,40.0,12.0,9.56,22000.0
E2.6204-2Z/C3,20.0,47.0,14.0,12.7,19000.0
E2.6205-2Z/C3,25.0,52.0,15.0,13.3,16000.0
E2.6206-2Z/C3,30.0,62.0,16.0,19.5,14000.0
E2.6207-2Z/C3,35.0,72.0,17.0,25.5,12000.0
E2.6208-2Z/C3,40.0,80.0,18.0,30.7,11000.0
E2.6209-2Z/C3,45.0,85.0,19.0,32.5,10000.0
E2.625-2Z/C3,5.0,16.0,5.0,1.14,56000.0
E2.626-2Z/C3,6.0,19.0,6.0,2.21,45000.0
E2.627-2Z/C3,7.0,22.0,7.0,3.32,43000.0
E2.629-2Z/C3,9.0,26.0,8.0,4.62,36000.0
E2.6300-2Z/C3,10.0,35.0,11.0,8.32,30000.0
E2.6301-2Z/C3,12.0,37.0,12.0,9.95,26000.0
E2.6303-2Z/C3,17.0,47.0,14.0,13.8,20000.0
E2.6304-2Z/C3,20.0,52.0,15.0,16.3,18000.0
E2.6305-2Z/C3,25.0,62.0,17.0,22.9,15000.0
E2.6306-2Z/C3,30.0,72.0,19.0,28.1,12000.0
E2.6307-2Z/C3,35.0,80.0,21.0,33.8,11000.0
E2.6308-2Z/C3,40.0,90.0,23.0,41.0,10000.0
E2.6309-2Z/C3,45.0,100.0,25.0,52.7,9000.0
E2.6310-2Z/C3,50.0,110.0,27.0,62.4,8000.0
E2.6312-2Z/C3,60.0,130.0,31.0,81.9,6700.0
EE 2 TN9,6.35,19.05,5.556,2.81,50000.0
EE 3 TN9,9.525,22.225,5.556,3.32,43000.0
EEB 3-2Z,9.525,22.225,7.144,3.32,34000.0
ICOS-D1B04 TN9,20.0,47.0,16.2,13.5,9300.0
ICOS-D1B05 TN9,25.0,52.0,17.2,14.8,7700.0
ICOS-D1B06 TN9,30.0,62.0,19.4,20.3,6500.0
MRC.103KSZZG,17.0,35.0,10.0,6.37,13000.0
MRC.106KSZZG,30.0,55.0,13.0,13.8,8000.0
MRC.111KSG,55.0,90.0,18.0,29.6,10000.0
MRC.115KS,75.0,115.0,20.0,41.6,7500.0
MRC.115KSG,75.0,115.0,20.0,41.6,7500.0
MRC.116KS,80.0,125.0,22.0,49.4,7000.0
MRC.116KSZZ,80.0,125.0,22.0,49.4,7000.0
MRC.117KS,85.0,130.0,22.0,52.0,6700.0
MRC.117KSFF,85.0,130.0,22.0,52.0,5300.0
MRC.117KSG,85.0,130.0,22.0,52.0,6700.0
MRC.118KS,90.0,140.0,24.0,60.5,6300.0
MRC.118KSFF,90.0,140.0,24.0,60.5,5000.0
MRC.1902S,15.0,28.0,7.0,4.36,34000.0
MRC.1903S,17.0,30.0,7.0,4.62,32000.0
MRC.1905S,25.0,42.0,9.0,7.02,22000.0
MRC.1905SZZ,25.0,42.0,9.0,7.02,10000.0
MRC.1906S,30.0,47.0,9.0,7.28,19000.0
MRC.1910S,50.0,72.0,12.0,14.6,12000.0
MRC.205SF,25.0,52.0,15.0,14.8,18000.0
MRC.205SFF,25.0,52.0,15.0,14.8,14000.0
MRC.205SFFG,25.0,52.0,15.0,14.8,14000.0
MRC.205SZZ,25.0,52.0,15.0,14.8,8500.0
MRC.205SZZG,25.0,52.0,15.0,14.8,8500.0
MRC.206S,30.0,62.0,16.0,20.3,15000.0
MRC.206SFF,30.0,62.0,16.0,20.3,12000.0
MRC.206SG,30.0,62.0,16.0,20.3,15000.0
MRC.206SZZ,30.0,62.0,16.0,20.3,7500.0
MRC.206SZZG,30.0,62.0,16.0,20.3,15000.0
MRC.207 SZZG,35.0,72.0,17.0,27.0,6300.0
MRC.207M,35.0,72.0,17.0,27.5,10000.0
MRC.207MF,35.0,72.0,17.0,27.5,10000.0
MRC.207MFF,35.0,72.0,17.0,27.5,8000.0
MRC.207MFG,35.0,72.0,17.0,27.5,10000.0
MRC.207MG,35.0,72.0,17.0,27.5,10000.0
MRC.207S,35.0,72.0,17.0,27.0,13000.0
MRC.207SF,35.0,72.0,17.0,27.0,13000.0
MRC.207SFF,35.0,72.0,17.0,27.0,10000.0
MRC.207SFFG,35.0,72.0,17.0,27.0,10000.0
MRC.207SG,35.0,72.0,17.0,27.0,13000.0
MRC.207SZZ,35.0,72.0,17.0,27.0,13000.0
MRC.208M,40.0,80.0,18.0,33.6,9500.0
MRC.208MF,40.0,80.0,18.0,33.6,9500.0
MRC.208MFF,40.0,80.0,18.0,33.6,7600.0
MRC.208MFG,40.0,80.0,18.0,33.6,9500.0
MRC.208MG,40.0,80.0,18.0,33.6,9500.0
MRC.208S,40.0,80.0,18.0,32.5,11000.0
MRC.208SF,40.0,80.0,18.0,32.5,11000.0
MRC.208SFF,40.0,80.0,18.0,32.5,9000.0
MRC.208SG,40.0,80.0,18.0,32.5,11000.0
MRC.208SZZ,40.0,80.0,18.0,32.5,11000.0
MRC.208SZZG,40.0,80.0,18.0,32.5,5600.0
MRC.209M,45.0,85.0,19.0,35.2,8500.0
MRC.209MF,45.0,85.0,19.0,35.2,8500.0
MRC.209MFF,45.0,85.0,19.0,35.2,6800.0
MRC.209MFG,45.0,85.0,19.0,35.2,8500.0
MRC.209MG,45.0,85.0,19.0,35.2,8500.0
MRC.209S,45.0,85.0,19.0,35.1,11000.0
MRC.209SFF,45.0,85.0,19.0,35.1,8500.0
MRC.209SFFG,45.0,85.0,19.0,35.1,8500.0
MRC.209SG,45.0,85.0,19.0,35.1,11000.0
MRC.209SZZ,45.0,85.0,19.0,35.1,11000.0
MRC.209SZZG,45.0,85.0,19.0,35.1,5000.0
MRC.210M,50.0,90.0,20.0,39.1,8000.0
MRC.210MF,50.0,90.0,20.0,39.1,8000.0
MRC.210MFF,50.0,90.0,20.0,39.1,6400.0
MRC.210MFG,50.0,90.0,20.0,39.1,8000.0
MRC.210MG,50.0,90.0,20.0,39.1,8000.0
MRC.210S,50.0,90.0,20.0,37.1,10000.0
MRC.210SF,50.0,90.0,20.0,37.1,10000.0
MRC.210SFF,50.0,90.0,20.0,37.1,8000.0
MRC.210SFFG,50.0,90.0,20.0,37.1,8000.0
MRC.210SG,50.0,90.0,20.0,37.1,10000.0
MRC.210SZ,50.0,90.0,20.0,37.1,4800.0
MRC.210SZZ,50.0,90.0,20.0,37.1,4800.0
MRC.210SZZG,50.0,90.0,20.0,37.1,4800.0
MRC.211M,55.0,100.0,21.0,48.4,7000.0
MRC.211MF,55.0,100.0,21.0,48.4,7000.0
MRC.211MFF,55.0,100.0,21.0,48.4,5600.0
MRC.211MFFG,55.0,100.0,21.0,48.4,5600.0
MRC.211MFG,55.0,100.0,21.0,48.4,7000.0
MRC.211MG,55.0,100.0,21.0,48.4,7000.0
MRC.211S,55.0,100.0,21.0,46.2,13000.0
MRC.211SF,55.0,100.0,21.0,46.2,13000.0
MRC.211SFF,55.0,100.0,21.0,46.2,7000.0
MRC.211SZZ,55.0,100.0,21.0,46.2,13000.0
MRC.211SZZG,55.0,100.0,21.0,46.2,7000.0
MRC.212M,60.0,110.0,22.0,56.1,6700.0
MRC.212MF,60.0,110.0,22.0,56.1,6700.0
MRC.212MFF,60.0,110.0,22.0,56.1,5400.0
MRC.212S,60.0,110.0,22.0,55.3,11000.0
MRC.212SF,60.0,110.0,22.0,55.3,11000.0
MRC.212SFF,60.0,110.0,22.0,55.3,6300.0
MRC.212SFFG,60.0,110.0,22.0,55.3,6300.0
MRC.212SZ,60.0,110.0,22.0,55.3,4000.0
MRC.212SZZ,60.0,110.0,22.0,55.3,4000.0
MRC.212SZZG,60.0,110.0,22.0,55.3,11000.0
MRC.213M,65.0,120.0,23.0,60.5,6000.0
MRC.213MFF,65.0,120.0,23.0,60.5,4800.0
MRC.213MFG,65.0,120.0,23.0,60.5,6000.0
MRC.213S,65.0,120.0,23.0,58.5,7500.0
MRC.213SFF,65.0,120.0,23.0,58.5,6000.0
MRC.213SG,65.0,120.0,23.0,58.5,10000.0
MRC.213SZZ,65.0,120.0,23.0,58.5,7500.0
MRC.213SZZG,65.0,120.0,23.0,58.5,3600.0
MRC.214M,70.0,125.0,24.0,66.0,5600.0
MRC.214MF,70.0,125.0,24.0,66.0,5600.0
MRC.214MFF,70.0,125.0,24.0,66.0,4500.0
MRC.214MFG,70.0,125.0,24.0,66.0,5600.0
MRC.214S,70.0,125.0,24.0,63.7,7000.0
MRC.214SZZ,70.0,125.0,24.0,63.7,7000.0
MRC.214SZZG,70.0,125.0,24.0,63.7,3400.0
MRC.215M,75.0,130.0,25.0,72.1,5300.0
MRC.215MF,75.0,130.0,25.0,72.1,5300.0
MRC.215MFF,75.0,130.0,25.0,72.1,4300.0
MRC.215S,75.0,130.0,25.0,68.9,6700.0
MRC.215SFF,75.0,130.0,25.0,68.9,5300.0
MRC.215SZZ,75.0,130.0,25.0,68.9,6700.0
MRC.215SZZG,75.0,130.0,25.0,68.9,3200.0
MRC.216M,80.0,140.0,26.0,88.0,5000.0
MRC.216MF,80.0,140.0,26.0,88.0,5000.0
MRC.216MFF,80.0,140.0,26.0,88.0,4000.0
MRC.216MG,80.0,140.0,26.0,88.0,5000.0
MRC.216S,80.0,140.0,26.0,72.8,6000.0
MRC.216SFF,80.0,140.0,26.0,72.8,4800.0
MRC.216SZZ,80.0,140.0,26.0,72.8,3000.0
MRC.217M,85.0,150.0,28.0,96.8,4800.0
MRC.217MF,85.0,150.0,28.0,96.8,4800.0
MRC.217MFF,85.0,150.0,28.0,96.8,3900.0
MRC.217S,85.0,150.0,28.0,87.1,5600.0
MRC.217SFF,85.0,150.0,28.0,87.1,4500.0
MRC.217SZZ,85.0,150.0,28.0,87.1,8000.0
MRC.218S,90.0,160.0,30.0,101.0,5300.0
MRC.218SFF,90.0,160.0,30.0,101.0,4300.0
MRC.219S,95.0,170.0,32.0,114.0,5000.0
MRC.219SFF,95.0,170.0,32.0,114.0,4000.0
MRC.220S,100.0,180.0,34.0,127.0,7000.0
MRC.220SFF,100.0,180.0,34.0,127.0,3800.0
MRC.222S,110.0,200.0,38.0,151.0,4300.0
MRC.224S,120.0,215.0,40.0,146.0,5600.0
MRC.305M,25.0,62.0,17.0,22.9,13000.0
MRC.305MF,25.0,62.0,17.0,22.9,13000.0
MRC.305MFF,25.0,62.0,17.0,22.9,10400.0
MRC.305MFG,25.0,62.0,17.0,22.9,13000.0
MRC.305MG,25.0,62.0,17.0,22.9,13000.0
MRC.306M,30.0,72.0,19.0,29.7,11000.0
MRC.306MF,30.0,72.0,19.0,29.7,11000.0
MRC.306MFF,30.0,72.0,19.0,29.7,8800.0
MRC.306MFG,30.0,72.0,19.0,29.7,11000.0
MRC.306MG,30.0,72.0,19.0,29.7,11000.0
MRC.306S,30.0,72.0,19.0,29.6,13000.0
MRC.306SF,30.0,72.0,19.0,29.6,13000.0
MRC.306SFF,30.0,72.0,19.0,29.6,11000.0
MRC.306SFFG,30.0,72.0,19.0,29.6,6300.0
MRC.306SZZ,30.0,72.0,19.0,29.6,6300.0
MRC.306SZZG,30.0,72.0,19.0,29.6,6300.0
MRC.307M,35.0,80.0,21.0,34.7,9500.0
